Country,Code,Region,Sub-Region,Year,Status,Income classifications,Life expectancy,Population,GDP Per Capita,"GNI per capita, PPP ($)",Total expenditure,Adult Mortality,infant deaths,Alcohol,health expenditure per capita $,health expenditure % of GDP,Hepatitis B (% of one-year-olds immunized),Polio (% of one-year-olds immunized),Measles per 1000,Measles MCV1 (% of one-year-olds immunized),under-five deaths,"Diphtheria, Pertussis, Tentanus (% of one-year-olds immunized)", HIV/AIDS, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Alcohol use disorders  (%),Drug use disorders (%),Avg Total Years of Schooling for Adult,"Government expenditure on education, total (% of GDP)",Mental disorders (%),obesity among adults (%),Gini coefficient,daily smoking in populations aged 10 and older (%),Neoplasms (Percent),Deaths - HIV/AIDS
Eswatini,SWZ,Africa,Sub-Saharan Africa,2005,Developing,Lower-middle income,46,1071895,2964.985541,6964.378418,6.8,63,3,5.08,218.71,7.38,95,88,0,93,4,86,49.1,7.3,7.5,0.495,2.47,0.73,4.5,6.484620094,11.8,10.2,,6.47,0.58665406,50.77
Eswatini,SWZ,Africa,Sub-Saharan Africa,2006,Developing,Lower-middle income,47.8,1077747,3053.95467,6960.011719,6.81,564,3,5.53,238.98,7.83,93,88,0,93,4,87,43.7,6.9,7.1,0.502,2.46,0.73,5.1,6.554759979,11.81,10.4,,,0.581171121,49.77
Eswatini,SWZ,Africa,Sub-Saharan Africa,2007,Developing,Lower-middle income,50,1084015,3200.496672,7278.330078,7.5,51,3,5.55,253.8,7.93,92,88,0,94,4,87,40.7,6.5,6.7,0.508,2.44,0.72,5.3,,11.82,10.6,,,0.579245573,48.63
Eswatini,SWZ,Africa,Sub-Saharan Africa,2008,Developing,Lower-middle income,51.4,1089885,3022.464592,7188.302734,8.19,477,3,4.87,267.73,8.86,90,89,1,94,4,88,40.2,6.1,6.3,0.514,2.41,0.72,5.4,6.618120193,11.83,10.9,,,0.581589014,47.58
Eswatini,SWZ,Africa,Sub-Saharan Africa,2009,Developing,Lower-middle income,52.6,1094890,3270.127727,7105.764648,8.46,46,3,4.9,282.3,8.63,88,89,26,94,4,88,33.7,5.8,5.9,0.519,2.38,0.72,5.6,6.471350193,11.84,11.1,0.514526044,,0.58494238,46.58
Eswatini,SWZ,Africa,Sub-Saharan Africa,2010,Developing,Lower-middle income,53.6,1099926,4035.546607,7101.517578,8.47,459,2,4.93,346.7,8.59,89,89,313,94,4,89,21.6,5.4,5.6,0.523,2.36,0.72,5.7,6.118370056,11.85,11.4,,6.277,0.583631748,44.48
Eswatini,SWZ,Africa,Sub-Saharan Africa,2011,Developing,Lower-middle income,55,1105379,4360.979186,7139.315918,8.61,438,2,5.2,369.37,8.47,91,85,0,87,3,91,15.7,5.1,5.2,0.526,2.35,0.72,5.9,6.864329815,11.86,11.7,,,0.582391647,42.08
Eswatini,SWZ,Africa,Sub-Saharan Africa,2012,Developing,Lower-middle income,56.5,1111453,4396.562519,7430.895508,8.76,412,2,0.01,343.83,7.82,95,92,0,88,3,95,12.2,4.8,4.9,0.534,2.35,0.72,6.1,,11.87,12,,,0.583970637,40.76
Eswatini,SWZ,Africa,Sub-Saharan Africa,2013,Developing,Lower-middle income,57.6,1118329,4111.109647,7844.002441,9.66,393,2,0.01,306.57,7.46,98,98,0,96,3,98,9.8,4.5,4.6,0.539,2.34,0.72,6.3,,11.89,12.4,,,0.584766969,39.26
Eswatini,SWZ,Africa,Sub-Saharan Africa,2014,Developing,Lower-middle income,58.4,1125872,3928.506828,7857.950684,9.25,382,2,0.01,285.05,7.26,98,98,0,97,3,98,7.3,4.3,4.3,0.541,2.33,0.72,6.5,7.070320129,11.91,12.7,,,0.579812286,37.18
Eswatini,SWZ,Africa,Sub-Saharan Africa,2015,Developing,Lower-middle income,58.9,1133941,3583.31129,7991.697266,,373,2,,252.68,7.06,90,84,0,89,3,90,7.1,4,4.1,0.541,2.32,0.71,6.5,5.355750084,11.92,13.1,,,0.568918416,34.97
Ethiopia,ETH,Africa,Sub-Saharan Africa,2000,Developing,Low income,51.2,67031870,122.9622935,,4.36,391,253,0.88,5.32,4.37,,55,1660,36,404,30,5,11.9,11.8,0,2.24,0.35,1.5,3.983109951,13.47,1.6,,3.979,0.406212193,10.8
Ethiopia,ETH,Africa,Sub-Saharan Africa,2001,Developing,Low income,52.5,69018936,119.2618573,,4.26,372,246,0.85,5.55,4.72,,54,2366,35,392,33,4.9,11.8,11.7,0.283,2.23,0.35,1.6,3.700289965,13.44,1.7,,,0.400304535,11.72
Ethiopia,ETH,Africa,Sub-Saharan Africa,2002,Developing,Low income,53.2,71073224,110.4608747,,4.73,369,237,0.8,5.19,4.71,,55,3332,36,377,35,4.6,11.7,11.6,0.298,2.22,0.35,1.7,3.632450104,13.38,1.8,,,0.393145754,11.89
Ethiopia,ETH,Africa,Sub-Saharan Africa,2003,Developing,Low income,54,73168850,117.8601647,,4.64,363,228,0.79,5.76,4.9,,54,228,35,360,38,4.4,11.6,11.5,0.306,2.21,0.34,1.7,,13.31,1.8,,,0.388396613,11.86
Ethiopia,ETH,Africa,Sub-Saharan Africa,2004,Developing,Low income,55,75301020,134.5424863,,4.23,354,217,0.86,5.8,4.31,,54,73,35,342,40,4.1,11.5,11.3,0.31,2.2,0.34,1.8,,13.24,1.9,0.29806853,,0.385542068,11.72
Ethiopia,ETH,Africa,Sub-Saharan Africa,2005,Developing,Low income,56,77469944,160.0767918,,4.2,343,206,0.99,6.56,4.1,,56,357,40,323,44,3.7,11.5,11.2,0.325,2.2,0.34,1.9,,13.19,2,,4.047,0.382262902,11.12
Ethiopia,ETH,Africa,Sub-Saharan Africa,2006,Developing,Low income,57.2,79691060,191.7512925,,4.47,328,196,1.22,8.53,4.46,,59,1451,44,304,46,3.3,11.4,11.1,0.346,2.25,0.34,2,5.490960121,13.15,2.2,,,0.381026273,10.23
Ethiopia,ETH,Africa,Sub-Saharan Africa,2007,Developing,Low income,58.5,81996184,240.347972,,4.69,39,186,1.06,11.79,5,47,61,1446,49,286,50,2.8,11.3,11,0.362,2.36,0.34,2.1,5.451129913,13.09,2.3,,,0.380823268,9.47
Ethiopia,ETH,Africa,Sub-Saharan Africa,2008,Developing,Low income,59.8,84357100,320.8610897,,4.28,289,177,1.13,13.22,4.28,52,63,3511,54,270,54,2.4,11.2,1.9,0.378,2.5,0.34,2.2,5.408199787,13.01,2.4,,,0.381989977,8.65
Ethiopia,ETH,Africa,Sub-Saharan Africa,2009,Developing,Low income,68,86755580,373.8939587,,4.41,274,169,1.17,15.36,4.65,56,65,1176,59,256,58,2,11.1,1.8,0.393,2.61,0.34,2.3,4.422070026,12.93,2.5,,,0.384383441,7.89
Ethiopia,ETH,Africa,Sub-Saharan Africa,2010,Developing,Low income,61.8,89237800,335.4384953,,6.86,261,162,1.34,16.41,5.47,62,69,4235,64,243,61,1.7,11,1.7,0.401,2.66,0.34,2.3,4.496590137,12.86,2.7,0.331706008,3.934,0.385171125,7.25
Ethiopia,ETH,Africa,Sub-Saharan Africa,2011,Developing,Low income,62.6,91817940,348.0013483,1358.033203,6.55,249,156,1.32,14.84,4.47,65,70,3255,68,231,65,1.4,1.9,1.6,0.411,2.65,0.34,2.4,5.485760212,12.79,2.8,,,0.385275557,6.7
Ethiopia,ETH,Africa,Sub-Saharan Africa,2012,Developing,Low income,63.3,94451280,458.5509208,1434.245483,5.77,241,150,1.84,20.29,4.54,62,70,4347,62,221,62,1.2,1.7,1.5,0.422,2.64,0.34,2.4,5.56678009,12.72,2.9,,,0.384568728,6.4
Ethiopia,ETH,Africa,Sub-Saharan Africa,2013,Developing,Low income,63.7,97084376,490.791804,1541.762451,5.19,237,145,1.86,19.54,4.08,59,70,5253,55,211,59,0.9,1.6,1.4,0.427,2.63,0.34,2.5,4.498549938,12.64,3.1,,,0.384254742,6.31
Ethiopia,ETH,Africa,Sub-Saharan Africa,2014,Developing,Low income,64.2,99746770,557.5341484,1652.126099,4.88,234,140,0.01,21.9,4.03,61,68,12739,54,202,61,0.6,1.5,1.3,0.435,2.62,0.34,2.5,4.602019787,12.58,3.3,,,0.385559316,6.1
Ethiopia,ETH,Africa,Sub-Saharan Africa,2015,Developing,Low income,64.8,102471896,630.3126821,1771.947998,,225,136,,23.53,3.82,63,75,17745,56,194,63,0.6,1.4,1.2,0.441,2.62,0.34,2.6,4.737919807,12.53,3.4,0.349931232,,0.386884934,5.81
Fiji,FJI,Oceania,Melanesia,2000,Developing,Lower-middle income,67.7,832516,2015.881172,,3.87,221,0,2.05,75.04,3.42,98,91,0,81,0,90,0.1,4.3,4,0.681,0.6,0.7,9.6,5.877739906,11.44,19.4,,13.5,0.603216037,0.2
Fiji,FJI,Oceania,Melanesia,2001,Developing,Lower-middle income,67.8,841324,1964.132793,,3.28,221,0,1.93,62.1,2.91,98,92,17,83,0,91,0.1,4.3,4,0.683,0.6,0.7,9.5,5.643109798,11.44,20,,,0.596021411,0.22
Fiji,FJI,Oceania,Melanesia,2002,Developing,Lower-middle income,67.9,849897,2157.076596,,3.48,22,0,1.85,70.07,2.98,99,94,304,85,0,93,0.1,4.2,3.9,0.687,0.6,0.7,9.4,6.275869846,11.43,20.7,0.381020545,,0.596039628,0.23
Fiji,FJI,Oceania,Melanesia,2003,Developing,Lower-middle income,68,858306,2680.225507,,3.35,22,0,1.76,86.9,2.97,99,95,305,86,0,94,0.1,4.2,3.9,0.689,0.6,0.71,9.3,,11.43,21.5,,,0.602903766,0.24
Fiji,FJI,Oceania,Melanesia,2004,Developing,Lower-middle income,68.1,866699,3124.607389,,3.61,218,0,1.63,111.04,3.26,99,96,37,88,0,95,0.1,4.2,3.9,0.691,0.6,0.7,9.3,6.209159851,11.42,22.2,,,0.60488985,0.25
Fiji,FJI,Oceania,Melanesia,2005,Developing,Lower-middle income,68.3,874929,3406.568258,,3.61,214,0,2.02,121.24,3.26,99,97,0,90,0,96,0.1,4.1,3.8,0.699,0.6,0.71,9.2,5.167059898,11.42,22.8,,12.994,0.612666466,0.23
Fiji,FJI,Oceania,Melanesia,2006,Developing,Lower-middle income,68.5,883096,3483.597185,,3.84,211,0,2.06,127.43,3.35,99,98,136,92,0,98,0.1,4.1,3.8,0.695,0.61,0.71,9.3,5.655320168,11.43,23.4,,,0.628024945,0.22
Fiji,FJI,Oceania,Melanesia,2007,Developing,Upper-middle income,68.6,890655,3793.097385,,3.74,29,0,2.09,141.43,3.42,99,99,0,94,0,99,0.1,4.1,3.8,0.698,0.61,0.71,9.3,5.894720078,11.46,24,,,0.647563857,0.21
Fiji,FJI,Oceania,Melanesia,2008,Developing,Upper-middle income,68.7,896728,3928.921739,,3.68,26,0,1.95,135.5,3.18,99,99,0,95,0,99,0.1,4,3.7,0.7,0.61,0.71,9.4,4.25357008,11.49,24.6,0.403755861,,0.664619586,0.2
Fiji,FJI,Oceania,Melanesia,2009,Developing,Upper-middle income,68.9,901390,3184.689123,,4.26,23,0,2.31,121.84,3.54,99,99,1,95,0,99,0.1,4,3.7,0.704,0.61,0.71,9.5,4.498479843,11.52,25.2,,,0.675994177,0.19
Fiji,FJI,Oceania,Melanesia,2010,Developing,Lower-middle income,69.1,905176,3469.165917,,4.23,2,0,2.25,128.4,3.42,99,99,0,96,0,99,0.1,4,3.7,0.706,0.61,0.71,9.6,4.824359894,11.54,25.8,,12.901,0.682841691,0.19
Fiji,FJI,Oceania,Melanesia,2011,Developing,Lower-middle income,69.2,908359,4160.684021,,4.6,197,0,0.01,141.66,3.14,99,99,0,96,0,99,0.1,4,3.7,0.709,0.61,0.71,9.8,4.17305994,11.54,26.5,,,0.685412654,0.2
Fiji,FJI,Oceania,Melanesia,2012,Developing,Upper-middle income,69.4,911067,4359.77535,,4.16,195,0,0.01,154.22,3.27,99,99,0,96,0,99,0.1,4,3.7,0.714,0.61,0.71,10.1,4.722650051,11.54,27.2,,,0.691918398,0.18
Fiji,FJI,Oceania,Melanesia,2013,Developing,Upper-middle income,69.6,913467,4586.897921,,4.26,192,0,0.01,159.02,3.2,99,99,0,96,0,99,0.1,4,3.7,0.719,0.6,0.71,10.3,3.882889986,11.55,27.9,0.366965967,,0.699151114,0.15
Fiji,FJI,Oceania,Melanesia,2014,Developing,Upper-middle income,69.7,915576,5305.190923,,4.49,19,0,0.01,178.71,3.37,99,99,0,96,0,99,0.1,4,3.7,0.727,0.59,0.71,10.5,4.268219948,11.54,28.6,,,0.70433334,0.14
Fiji,FJI,Oceania,Melanesia,2015,Developing,Upper-middle income,69.9,917209,5105.262627,,,188,0,,169.73,3.32,99,99,0,96,0,99,0.1,4,3.7,0.734,0.59,0.71,10.8,4.809319973,11.54,29.3,,,0.710938576,0.14
Finland,FIN,Europe,Northern Europe,2000,Developed,High income,77.5,5176208,24345.91482,39632.35547,7.22,15,0,8.59,1726.74,7.09,,96,0,96,0,99,0.1,0.9,0.9,0.847,2.75,0.88,9.3,5.709300041,15.34,18.2,0.271566266,21.092,1.947632413,0.02
Finland,FIN,Europe,Northern Europe,2001,Developed,High income,78,5188007,24967.79252,40826.60156,7.43,1,0,8.94,1810.39,7.25,,95,1,96,0,98,0.1,0.9,0.8,0.856,2.77,0.9,9.4,5.840250015,15.29,18.6,,,1.959775456,0.01
Finland,FIN,Europe,Northern Europe,2002,Developed,High income,78.1,5200588,26997.75299,41570.76563,7.81,98,0,9.25,2059.31,7.63,,95,0,96,0,98,0.1,0.9,0.8,0.863,2.78,0.91,9.5,6.0167799,15.18,19.1,,,1.993394826,0.02
Finland,FIN,Europe,Northern Europe,2003,Developed,High income,78.4,5212991,32927.68029,41911.21094,8.15,98,0,9.31,2613.83,7.94,,96,0,97,0,98,0.1,0.9,0.8,0.866,2.79,0.94,9.6,6.167439938,15.05,19.5,0.276866041,,2.036633735,0.03
Finland,FIN,Europe,Northern Europe,2004,Developed,High income,78.7,5228143,37772.17811,44041.3125,8.21,12,0,9.89,3044.13,8.06,,96,0,97,0,98,0.1,0.9,0.8,0.869,2.8,0.96,11.9,6.157579899,14.94,20,0.278977659,,2.099376895,0.02
Finland,FIN,Europe,Northern Europe,2005,Developed,High income,78.9,5246070,39054.85044,44976.90625,8.43,11,0,9.95,3236.87,8.29,,97,1,97,0,97,0.1,0.9,0.8,0.864,2.79,0.98,12,6.02507019,14.89,20.4,0.276195937,19.176,2.111818732,0.02
Finland,FIN,Europe,Northern Europe,2006,Developed,High income,79.2,5266249,41222.602,46836.60156,8.38,96,0,10.15,3414.94,8.28,,97,0,97,0,97,0.1,0.9,0.8,0.869,2.77,0.99,12,5.928380013,14.93,20.8,0.279990754,,2.110837116,0.03
Finland,FIN,Europe,Northern Europe,2007,Developed,High income,79.3,5288694,48476.39273,48806.83203,8.9,96,0,10.45,3918.66,8.08,,97,0,98,0,99,0.1,0.9,0.8,0.873,2.73,1.01,12,5.67125988,15.03,21.2,0.282855715,,2.148460397,0.03
Finland,FIN,Europe,Northern Europe,2008,Developed,High income,79.6,5313358,53772.79424,48899.26172,8.35,94,0,10.26,4486.36,8.34,,97,5,97,0,99,0.1,0.9,0.8,0.876,2.68,1.03,12.2,5.83010006,15.15,21.6,0.278382083,,2.182056599,0.02
Finland,FIN,Europe,Northern Europe,2009,Developed,High income,79.7,5338813,47481.48454,45214.66016,9.2,91,0,9.96,4349.93,9.16,,99,2,98,0,99,0.1,0.9,0.8,0.878,2.63,1.04,12.2,6.459559917,15.25,22,0.274554457,,2.203242908,0.01
Finland,FIN,Europe,Northern Europe,2010,Developed,High income,79.9,5363279,46505.30318,46462.53906,9.5,89,0,9.72,4251.59,9.14,,99,5,98,0,99,0.1,0.9,0.8,0.874,2.59,1.06,12.3,6.504449844,15.28,22.4,0.27714088,17.058,2.215898233,0.02
Finland,FIN,Europe,Northern Europe,2011,Developed,High income,83,5388173,51148.93164,47002.11719,9.1,86,0,9.81,4717.57,9.22,,99,27,97,0,99,0.1,0.9,0.8,0.878,2.55,1.07,12.3,6.445049763,15.25,22.8,0.276428194,,2.226864885,0.02
Finland,FIN,Europe,Northern Europe,2012,Developed,High income,84,5413865,47708.06128,46162.76172,9.3,82,0,9.24,4573.29,9.59,,99,0,97,0,99,0.1,0.9,0.8,0.884,2.5,1.09,12.4,7.148039818,15.17,23.2,0.270966304,,2.252504415,0.02
Finland,FIN,Europe,Northern Europe,2013,Developed,High income,87,5438873,49892.22336,45511.67969,9.55,79,0,8.97,4892.2,9.81,,98,2,97,0,98,0.1,0.9,0.8,0.887,2.46,1.11,12.3,7.124040127,15.09,23.6,0.271939589,,2.274856961,0.01
Finland,FIN,Europe,Northern Europe,2014,Developed,High income,89,5461436,50327.24029,45421.875,9.68,78,0,8.8,4922.65,9.78,,98,0,96,0,98,0.1,0.9,0.8,0.89,2.42,1.12,12.4,7.102369785,15.02,24,0.26776976,,2.300822354,0.01
Finland,FIN,Europe,Northern Europe,2015,Developed,High income,81.1,5479457,42801.90812,45515.94531,,76,0,,4128.4,9.65,,97,2,95,0,97,0.1,0.9,0.8,0.893,2.4,1.14,12.4,7.032080173,14.98,24.5,0.271020423,,2.304662786,0.01
France,FRA,Europe,Western Europe,2000,Developed,High income,78.8,58665456,22416.42542,40356.25781,9.77,13,3,13.63,2161.85,9.58,26,98,10000,84,4,97,0.1,0.7,0.6,0.844,2.32,1.11,9.8,,17.22,16.8,0.310860624,28.299,1.917706056,0.24
France,FRA,Europe,Western Europe,2001,Developed,High income,79,59014776,22449.33969,40947.76953,9.89,13,3,13.89,2192.72,9.71,28,98,0,85,4,97,0.1,0.7,0.6,0.849,2.32,1.12,10,,17.23,17.3,,,1.953681727,0.24
France,FRA,Europe,Western Europe,2002,Developed,High income,79.2,59372784,24288.27002,40808.82031,1.22,11,3,13.78,2449.76,10.02,29,97,5185,86,4,97,0.1,0.7,0.6,0.851,2.33,1.14,10.1,,17.22,17.7,,,1.997258344,0.23
France,FRA,Europe,Western Europe,2003,Developed,High income,79.3,59728260,29627.92426,40968.95703,1.43,99,3,13.49,3006.31,10.08,28,96,0,87,4,97,0.1,0.6,0.6,0.852,2.33,1.17,10.2,,17.19,18.1,0.314111173,,2.033909271,0.22
France,FRA,Europe,Western Europe,2004,Developed,High income,82,60108436,33797.16244,41841.48438,1.53,94,3,13.18,3458.63,10.16,35,99,4448,88,4,98,0.1,0.6,0.6,0.857,2.33,1.2,10.3,,17.17,18.5,0.306473396,,2.042133794,0.22
France,FRA,Europe,Western Europe,2005,Developed,High income,81,60510080,34768.1759,42351.17969,1.6,93,3,12.2,3575.03,10.21,35,98,36,87,4,98,0.1,0.6,0.6,0.86,2.33,1.22,10.4,,17.16,18.9,0.29834014,26.655,2.0681247,0.19
France,FRA,Europe,Western Europe,2006,Developed,High income,86,60919150,36470.21284,43204.62891,1.53,92,3,12.4,3811.55,10.39,39,99,40,89,4,99,0.1,0.6,0.6,0.87,2.33,1.24,10.6,,17.11,19.3,0.296910916,,2.079215238,0.19
France,FRA,Europe,Western Europe,2007,Developed,High income,89,61329380,41557.62356,43976.05469,1.45,89,3,12.2,4312.31,10.32,42,99,39,90,3,99,0.1,0.6,0.6,0.873,2.32,1.26,10.7,,17.02,19.7,0.324277274,,2.084434842,0.17
France,FRA,Europe,Western Europe,2008,Developed,High income,89,61721004,45515.96175,43922.32813,1.57,88,3,11.9,4807.37,10.5,47,99,604,89,3,99,0.1,0.6,0.6,0.877,2.31,1.27,10.7,,16.92,20,0.329964768,,2.11185652,0.15
France,FRA,Europe,Western Europe,2009,Developed,High income,81.1,62093300,41737.76355,42497.93359,11.28,88,3,11.8,4737.58,11.29,51,98,1541,89,3,98,0.1,0.6,0.6,0.879,2.3,1.28,10.8,,16.83,20.4,0.326612694,,2.13739619,0.12
France,FRA,Europe,Western Europe,2010,Developed,High income,81.3,62444570,40676.06479,43115.35547,11.2,86,3,11.7,4592.38,11.23,64,99,5048,89,3,99,0.1,0.6,0.6,0.879,2.29,1.29,10.9,,16.79,20.8,0.337204815,25.053,2.138846943,0.11
France,FRA,Europe,Western Europe,2011,Developed,High income,81.7,62775270,43846.46608,43985.78906,11.33,83,3,11.8,4931.88,11.18,74,99,14949,89,3,99,0.1,0.6,0.6,0.882,2.28,1.29,10.9,,16.77,21.2,0.332947505,,2.132507265,0.09
France,FRA,Europe,Western Europe,2012,Developed,High income,81.5,63071412,40870.85236,43710.94922,11.44,83,3,11.5,4644.6,11.3,78,99,0,91,3,99,0.1,0.6,0.6,0.885,2.27,1.28,11,,16.73,21.6,0.331148587,,2.123743601,0.09
France,FRA,Europe,Western Europe,2013,Developed,High income,82,63335180,42602.71797,43763.04297,11.56,81,3,11.1,4888.47,11.4,82,99,272,90,3,99,0.1,0.6,0.6,0.887,2.26,1.27,11.2,,16.69,22,0.325126351,,2.124391747,0.1
France,FRA,Europe,Western Europe,2014,Developed,High income,82.2,63588496,43068.54872,43945.59766,11.54,79,3,11.5,4978.56,11.53,83,98,267,91,3,98,0.1,0.6,0.6,0.89,2.25,1.26,11.4,,16.65,22.4,0.32262184,,2.122250897,0.08
France,FRA,Europe,Western Europe,2015,Developed,High income,82.4,63809770,36652.92231,44282.82422,,78,2,,4199.07,11.44,88,97,157,91,3,97,0.1,0.7,0.6,0.894,2.24,1.26,11.5,,16.64,22.8,0.327043351,,2.122571564,0.09
Gabon,GAB,Africa,Sub-Saharan Africa,2000,Developing,Upper-middle income,61,1272941,3991.157022,13984.59766,2.89,296,2,8.87,123.33,2.9,,44,15,55,3,45,9.5,8,7.8,0.637,1.34,0.48,6.2,3.827090025,13.19,8.3,,9.002,0.445708379,14.96
Gabon,GAB,Africa,Sub-Saharan Africa,2001,Developing,Upper-middle income,59.8,1306593,3844.561312,14764.01953,3.23,37,2,9.29,121.07,3.15,,44,5129,55,3,45,10.1,7.8,7.7,0.633,1.33,0.47,6.3,,13.19,8.6,,,0.452432242,16.03
Gabon,GAB,Africa,Sub-Saharan Africa,2002,Developing,Upper-middle income,59.7,1341696,3976.646951,14911.80762,3.22,315,2,8.34,132.22,3.32,,44,110,55,3,45,10.7,7.7,7.5,0.636,1.32,0.47,6.5,,13.2,8.9,,,0.451647297,16.99
Gabon,GAB,Africa,Sub-Saharan Africa,2003,Developing,Upper-middle income,59.7,1378406,4724.25501,14630.97656,3.48,32,2,6.47,166.89,3.53,,44,0,55,3,45,11,7.5,7.4,0.638,1.3,0.46,6.6,,13.2,9.2,,,0.45864865,17.43
Gabon,GAB,Africa,Sub-Saharan Africa,2004,Developing,Upper-middle income,59.7,1417115,5483.144907,13487.75,3.26,322,2,8.13,182.62,3.33,,44,63,55,3,45,11.1,7.4,7.2,0.64,1.29,0.45,6.8,,13.21,9.5,,,0.461903164,17.17
Gabon,GAB,Africa,Sub-Saharan Africa,2005,Developing,Upper-middle income,65,1458362,6570.962804,14167.18164,2.76,37,2,7.72,190.27,2.93,28,44,0,55,3,45,10.9,7.2,7.1,0.64,1.27,0.45,6.9,,13.2,9.8,0.421849864,9.528,0.462062346,16.07
Gabon,GAB,Africa,Sub-Saharan Africa,2006,Developing,Upper-middle income,61.4,1502540,6873.454312,12684.6084,2.88,288,2,8.01,212.62,3.14,52,44,90,55,3,45,10.7,7.1,6.9,0.646,1.26,0.44,7,,13.19,10.1,,,0.467159858,15.24
Gabon,GAB,Africa,Sub-Saharan Africa,2007,Developing,Upper-middle income,61.6,1549774,8036.920258,12761.80469,2.86,291,2,9.02,254.2,3.16,75,78,0,62,3,81,10,6.9,6.8,0.645,1.25,0.44,7.2,,13.16,10.4,,,0.465792466,15.6
Gabon,GAB,Africa,Sub-Saharan Africa,2008,Developing,Upper-middle income,61.6,1599988,9732.227428,11746.06445,2.54,298,2,8.75,271.51,2.79,82,81,3,67,3,82,8.9,6.8,6.6,0.651,1.24,0.44,7.3,,13.12,10.7,,,0.467780299,15.77
Gabon,GAB,Africa,Sub-Saharan Africa,2009,Developing,Upper-middle income,61.7,1653549,7325.909871,12315.62207,3.43,31,2,8.64,283.03,3.84,79,74,0,63,3,76,8,6.7,6.5,0.652,1.22,0.44,7.4,,13.09,11,,,0.466664934,15.61
Gabon,GAB,Africa,Sub-Saharan Africa,2010,Developing,Upper-middle income,62.3,1711117,8399.596703,12107.36328,3.41,294,2,8.85,207.94,2.48,67,68,1,62,3,67,7,6.5,6.4,0.66,1.22,0.43,7.6,3.078089952,13.07,11.3,,9.885,0.461828804,15.29
Gabon,GAB,Africa,Sub-Saharan Africa,2011,Developing,Upper-middle income,62.8,1772508,10273.79901,11980.61816,3.12,289,2,8.9,262.77,2.56,75,75,2,72,3,75,6,6.4,6.3,0.664,1.21,0.43,7.7,2.987459898,13.07,11.7,,,0.463856706,14.83
Gabon,GAB,Africa,Sub-Saharan Africa,2012,Developing,Upper-middle income,63.5,1836711,9348.515572,13013.32324,3.13,276,2,8.3,226.33,2.42,82,80,2,71,3,82,4.9,6.3,6.2,0.669,1.21,0.43,7.8,3.013400078,13.07,12,,,0.46383323,13.69
Gabon,GAB,Africa,Sub-Saharan Africa,2013,Developing,Upper-middle income,64.6,1902230,9250.081564,13459.73828,3.98,255,2,8.86,262.78,2.84,79,77,122,70,3,79,3.7,6.2,6.1,0.678,1.2,0.43,8.1,3.029710054,13.08,12.3,,,0.463744718,11.98
Gabon,GAB,Africa,Sub-Saharan Africa,2014,Developing,Upper-middle income,65.5,1966858,9255.368597,14661.96289,3.44,237,2,0.01,234.42,2.53,70,68,33,61,3,70,2.8,6.1,6,0.687,1.2,0.43,8.1,2.666670084,13.08,12.7,,,0.467105181,11.23
Gabon,GAB,Africa,Sub-Saharan Africa,2015,Developing,Upper-middle income,66,2028524,7090.45461,14167.73633,,229,2,,188.42,2.66,80,79,27,68,3,80,2.7,6.1,5.9,0.694,1.19,0.43,8.1,2.900000095,13.09,13.1,,,0.472392028,11.08
"Gambia, The",GMB,Africa,Sub-Saharan Africa,2000,Developing,Low income,55.9,1437540,544.6220259,,3.61,33,3,2.18,46.74,6.65,91,84,336,89,6,80,2,1.2,1.2,0.377,0.51,0.34,2,1.465870023,13.1,3.9,,11.571,0.287403235,5.19
"Gambia, The",GMB,Africa,Sub-Saharan Africa,2001,Developing,Low income,56.3,1479456,464.6383922,,3.71,3,3,2.25,38.21,5.64,91,85,99,89,6,87,2.3,1,1,0.384,0.51,0.34,2.1,1.158100009,13.11,4.1,,,0.291652738,5.99
"Gambia, The",GMB,Africa,Sub-Saharan Africa,2002,Developing,Low income,56.6,1522230,379.8628947,,3.75,298,3,2.08,36.57,6.28,92,86,32,90,6,87,2.5,9.8,9.8,0.392,0.51,0.34,2.1,1.44291997,13.12,4.3,,,0.296697822,6.74
"Gambia, The",GMB,Africa,Sub-Saharan Africa,2003,Developing,Low income,57,1566263,310.9571556,,4.22,297,3,2.47,28.66,5.33,94,87,119,90,6,87,2.7,9.6,9.6,0.395,0.51,0.34,2.2,1.363379955,13.13,4.6,0.473316241,,0.300815811,7.43
"Gambia, The",GMB,Africa,Sub-Saharan Africa,2004,Developing,Low income,57.3,1612237,596.6289487,2298.500488,4.35,296,3,2.51,32.34,5.42,95,88,0,92,6,87,2.9,9.4,9.3,0.404,0.51,0.34,2.3,0.622470021,13.13,4.9,,,0.307663125,8.02
"Gambia, The",GMB,Africa,Sub-Saharan Africa,2005,Developing,Low income,57.7,1660377,618.9605283,2174.703369,4.97,294,3,2.26,33.34,5.39,95,94,0,91,6,95,3,9.2,9.1,0.412,0.51,0.34,2.4,0.691879988,13.12,5.1,,10.969,0.312255134,8.32
"Gambia, The",GMB,Africa,Sub-Saharan Africa,2006,Developing,Low income,58.2,1711297,615.974477,2091.956299,5.52,288,3,2.93,33.49,5.44,95,94,0,89,6,95,3,9,8.9,0.415,0.51,0.34,2.5,0.751630008,13.1,5.4,,,0.31384677,8.6
